LMFA01030749	-	5,14,15-trihydroxy-6,8,10,12-Eicosatetraenoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Unsaturated fatty acids [FA0103]
LMFA03010003	PGE2	9-oxo-11R,15S-dihydroxy-5Z,13E-prostadienoic acid; Prostin E2	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Prostaglandins [FA0301]
LMFA03010004	PGD2	9S,15S-dihydroxy-11-oxo-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Prostaglandins [FA0301]
LMFA03010010	PGH2	9S,11R-epidioxy-15S-hydroxy-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Prostaglandins [FA0301]
LMFA03010022	13,14-dihydro-15-keto-PGD2	11,15-dioxo-9S-hydroxy-5Z-prostenoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Prostaglandins [FA0301]
LMFA03010026	15-keto-PGF2alpha	9S,11R-dihydroxy-15-oxo-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Prostaglandins [FA0301]
LMFA03010031	13,14-dihydro-15-keto-PGE2	9,15-dioxo-11R-hydroxy-5Z-prostenoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Prostaglandins [FA0301]
LMFA03010060	11beta-PGE2	9-oxo-11S,15S-dihydroxy-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Prostaglandins [FA0301]
LMFA03010087	PGI2	6,9S-epoxy-11R,15S-dihydoxy-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Prostaglandins [FA0301]
LMFA03010094	15R-PGE2	9-oxo-11R,15R-dihydroxy-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Prostaglandins [FA0301]
LMFA03010101	delta-12-PGD2	9S,15S-dihydroxy-11-oxo-5Z,12E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Prostaglandins [FA0301]
LMFA03010102	15R-PGD2	9S,15R-dihydroxy-11-oxo-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Prostaglandins [FA0301]
LMFA03010138	PGF3alpha	9S,11R,15S-trihydroxy-5Z,13E,17Z-prostatrienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Prostaglandins [FA0301]
LMFA03010143	D17 PGE1	9-oxo-11R,15S-dihydroxy-13E,17Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Prostaglandins [FA0301]
LMFA03010146	15-keto-PGE1	9,15-dioxo-11R-hydroxy-13E-prostaenoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Prostaglandins [FA0301]
LMFA03010148	5-trans-PGE2	9-oxo-11R,15S-dihydroxy-5E,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Prostaglandins [FA0301]
LMFA03010170	PGK1	9,11-dioxo-15S-hydroxy-13E-prostenoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Prostaglandins [FA0301]
LMFA03020018	20-hydroxy LTB4	5S,12R,20-trihydroxy-6Z,8E,10E,14Z-eicosatetraenoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Leukotrienes [FA0302]
LMFA03030001	TXA2	9S,11S-epoxy,15S-hydroxy-thromboxa-5Z,13E-dien-1-oic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Thromboxanes [FA0303]
LMFA03040001	Lipoxin A4	5S,6R,15S-trihydroxy-7E,9E,11Z,13E-eicosatetraenoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Lipoxins [FA0304]
LMFA03040002	LipoxinB4	5S,14R,15S-trihydroxy-6E,8Z,10E,12E-eicosatetraenoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Lipoxins [FA0304]
LMFA03040003	epi-Lipoxin A4	5S,6S,15S-trihydroxy-7E,9E,11Z,13E-eicosatetraenoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Lipoxins [FA0304]
LMFA03040007	epi-Lipoxin B4	5S,14R,15R-trihydroxy-6E,8Z,10E,12E-eicosatetraenoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Lipoxins [FA0304]
LMFA03040008	13,14-dihydro-15-keto-LXA4	15-oxo-5S,6R-dihydroxy-7E,9E,11Z-eicosatrienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Lipoxins [FA0304]
LMFA03060100	10,11-dihydro-Resolvin E1	5S,12,18S-trihydroxy-6Z,8E,14Z,16E-eicosatetraenoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Hydroxy/hydroperoxyeicosatetraenoic acids [FA0306]
LMFA03100001	LGE2	(8R,12R)-10,11-seco-9,11-dioxo-15S-hydroxy-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100002	LGD2	(8R,12R)-9,10-seco-9,11-dioxo-15S-hydroxy-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100003	isoLGD2	9,10-seco-9,11-dioxo-15-hydroxy-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100004	isoLGE2	10,11-seco-9,11-dioxo-15-hydroxy-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100005	15-epi-15-iso-LGE2	(8S,12R)-10,11-seco-9,11-dioxo-15R-hydroxy-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100006	ent-15-epi-15-iso-LGE2	(8R,12S)-10,11-seco-9,11-dioxo-15S-hydroxy-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100007	ent-15-iso-LGE2	(8R,12S)-10,11-seco-9,11-dioxo-15R-hydroxy-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100008	15-iso-LGE2	(8S,12R)-10,11-seco-9,11-dioxo-15S-hydroxy-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100009	12-epi-12-iso-LGE2	(5S,9R)-7,8-seco-6,8-dioxo-12R-hydroxy-10E,14Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100010	ent-12-epi-12-iso-LGE2	(5R,9S)-7,8-seco-6,8-dioxo-12S-hydroxy-10E,14Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100011	ent-12-iso-LGE2	(5R,9S)-7,8-seco-6,8-dioxo-12R-hydroxy-10E,14Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100012	12-iso-LGE2	(5S,9R)-7,8-seco-6,8-dioxo-12S-hydroxy-10E,14Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100013	8-epi-8-iso-LGE2	(11S,15R)-13,14-seco-12,14-dioxo-8R-hydroxy-5Z,9E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100014	ent-8-epi-8-iso-LGE2	(11R,15S)-13,14-seco-12,14-dioxo-8S-hydroxy-5Z,9E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100015	ent-8-iso-LGE2	(11R,15S)-13,14-seco-12,14-dioxo-8R-hydroxy-5Z,9E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100016	8-iso-LGE2	(11S,15R)-13,14-seco-12,14-dioxo-8S-hydroxy-5Z,9E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100017	5-epi-5-iso-LGE2	(8S,12R)-10,11-seco-9,11-dioxo-5R-hydroxy-6E,14Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100018	ent-5-epi-5-iso-LGE2	(8R,12S)-10,11-seco-9,11-dioxo-5S-hydroxy-6E,14Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100019	ent-5-iso-LGE2	(8R,12S)-10,11-seco-9,11-dioxo-5R-hydroxy-6E,14Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100020	5-iso-LGE2	(8S,12R)-10,11-seco-9,11-dioxo-5S-hydroxy-6E,14Z-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100021	15-epi-15-iso-LGD2	(8S,12R)-9,10-seco-9,11-dioxo-15R-hydroxy-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100022	ent-15-epi-15-iso-LGD2	(8R,12S)-9,10-seco-9,11-dioxo-15S-hydroxy-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100023	ent-15-iso-LGD2	(8R,12S)-9,10-seco-9,11-dioxo-15R-hydroxy-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
LMFA03100024	15-iso-LGD2	(8S,12R)-9,10-seco-9,11-dioxo-15S-hydroxy-5Z,13E-prostadienoic acid	C20H32O5	352.22	Fatty Acyls [FA]	Eicosanoids [FA03]	Levuglandins [FA0310]
