date,goes_sxr_flare
1997/1,10
1997/2,55
1997/3,46
1997/4,88
1997/5,76
1997/6,14
1997/7,56
1997/8,94
1997/9,202
1997/10,86
1997/11,267
1997/12,147
1998/1,176
1998/2,144
1998/3,235
1998/4,143
1998/5,236
1998/6,155
1998/7,159
1998/8,187
1998/9,170
1998/10,177
1998/11,241
1998/12,225
1999/1,243
1999/2,152
1999/3,200
1999/4,165
1999/5,199
1999/6,202
1999/7,249
1999/8,226
1999/9,135
1999/10,212
1999/11,250
1999/12,192
2000/1,149
2000/2,202
2000/3,343
2000/4,210
2000/5,235
2000/6,222
2000/7,273
2000/8,168
2000/9,232
2000/10,174
2000/11,200
2000/12,253
2001/1,197
2001/2,107
2001/3,253
2001/4,212
2001/5,181
2001/6,241
2001/7,149
2001/8,325
2001/9,262
2001/10,264
2001/11,308
2001/12,205
2002/1,204
2002/2,207
2002/3,189
2002/4,236
2002/5,234
2002/6,146
2002/7,284
2002/8,335
2002/9,222
2002/10,254
2002/11,219
2002/12,188
2003/1,195
2003/2,179
2003/3,214
2003/4,233
2003/5,163
2003/6,228
2003/7,282
2003/8,161
2003/9,155
2003/10,208
2003/11,194
2003/12,182
2004/1,195
2004/2,200
2004/3,206
2004/4,195
2004/5,210
2004/6,170
2004/7,234
2004/8,238
2004/9,116
2004/10,226
2004/11,219
2004/12,159
2005/1,241
2005/2,153
2005/3,142
2005/4,142
2005/5,228
2005/6,213
2005/7,214
2005/8,160
2005/9,167
2005/10,27
2005/11,171
2005/12,171
2006/1,111
2006/2,6
2006/3,76
2006/4,288
2006/5,45
2006/6,81
2006/7,80
2006/8,166
2006/9,83
2006/10,34
2006/11,173
2006/12,195
2007/1,145
2007/2,10
2007/3,5
2007/4,39
2007/5,92
2007/6,136
2007/7,96
2007/8,17
2007/9,6
2007/10,1
2007/11,1
2007/12,126
2008/1,14
2008/2,0
2008/3,32
2008/4,18
2008/5,3
2008/6,0
2008/7,0
2008/8,0
2008/9,0
2008/10,0
2008/11,12
2008/12,6
2009/1,2
2009/2,3
2009/3,2
2009/4,0
2009/5,5
2009/6,6
2009/7,36
2009/8,0
2009/9,8
2009/10,73
2009/11,2
2009/12,118
