date,soho_lasco_cme
1997/1,18
1997/2,22
1997/3,18
1997/4,26
1997/5,36
1997/6,34
1997/7,31
1997/8,26
1997/9,45
1997/10,41
1997/11,52
1997/12,36
1998/1,62
1998/2,85
1998/3,79
1998/4,88
1998/5,108
1998/6,119
1998/7,0
1998/8,0
1998/9,0
1998/10,34
1998/11,82
1998/12,59
1999/1,0
1999/2,46
1999/3,91
1999/4,83
1999/5,94
1999/6,113
1999/7,136
1999/8,115
1999/9,104
1999/10,84
1999/11,82
1999/12,68
2000/1,93
2000/2,145
2000/3,158
2000/4,141
2000/5,153
2000/6,164
2000/7,147
2000/8,148
2000/9,138
2000/10,116
2000/11,151
2000/12,109
2001/1,105
2001/2,80
2001/3,166
2001/4,124
2001/5,128
2001/6,122
2001/7,82
2001/8,128
2001/9,174
2001/10,158
2001/11,95
2001/12,137
2002/1,116
2002/2,85
2002/3,169
2002/4,174
2002/5,151
2002/6,102
2002/7,161
2002/8,181
2002/9,169
2002/10,171
2002/11,135
2002/12,86
2003/1,127
2003/2,85
2003/3,104
2003/4,153
2003/5,122
2003/6,76
2003/7,55
2003/8,84
2003/9,79
2003/10,110
2003/11,75
2003/12,60
2004/1,89
2004/2,94
2004/3,94
2004/4,88
2004/5,126
2004/6,97
2004/7,109
2004/8,66
2004/9,58
2004/10,103
2004/11,103
2004/12,75
2005/1,112
2005/2,93
2005/3,95
2005/4,106
2005/5,140
2005/6,101
2005/7,145
2005/8,122
2005/9,81
2005/10,76
2005/11,73
2005/12,105
2006/1,102
2006/2,71
2006/3,47
2006/4,80
2006/5,109
2006/6,81
2006/7,125
2006/8,101
2006/9,109
2006/10,73
2006/11,93
2006/12,55
2007/1,106
2007/2,86
2007/3,127
2007/4,161
2007/5,137
2007/6,155
2007/7,141
2007/8,117
2007/9,118
2007/10,102
2007/11,77
2007/12,115
2008/1,97
2008/2,65
2008/3,100
2008/4,80
2008/5,73
2008/6,70
2008/7,76
2008/8,52
2008/9,56
2008/10,67
2008/11,57
2008/12,70
2009/1,62
2009/2,51
2009/3,61
2009/4,60
2009/5,47
2009/6,72
2009/7,47
2009/8,46
2009/9,107
2009/10,65
2009/11,51
2009/12,77
