date,wind_ace_sir
1997/1,4
1997/2,5
1997/3,5
1997/4,2
1997/5,1
1997/6,4
1997/7,5
1997/8,3
1997/9,3
1997/10,3
1997/11,2
1997/12,1
1998/1,3
1998/2,2
1998/3,3
1998/4,3
1998/5,3
1998/6,4
1998/7,4
1998/8,2
1998/9,2
1998/10,2
1998/11,1
1998/12,4
1999/1,3
1999/2,3
1999/3,2
1999/4,3
1999/5,4
1999/6,3
1999/7,3
1999/8,4
1999/9,3
1999/10,3
1999/11,2
1999/12,3
2000/1,2
2000/2,2
2000/3,6
2000/4,2
2000/5,5
2000/6,1
2000/7,2
2000/8,2
2000/9,4
2000/10,2
2000/11,2
2000/12,2
2001/1,4
2001/2,4
2001/3,1
2001/4,0
2001/5,4
2001/6,3
2001/7,4
2001/8,3
2001/9,3
2001/10,2
2001/11,0
2001/12,4
2002/1,4
2002/2,3
2002/3,3
2002/4,3
2002/5,3
2002/6,4
2002/7,3
2002/8,2
2002/9,4
2002/10,4
2002/11,3
2002/12,5
2003/1,3
2003/2,4
2003/3,5
2003/4,3
2003/5,3
2003/6,4
2003/7,4
2003/8,5
2003/9,3
2003/10,4
2003/11,3
2003/12,4
2004/1,5
2004/2,3
2004/3,2
2004/4,3
2004/5,4
2004/6,2
2004/7,3
2004/8,4
2004/9,2
2004/10,5
2004/11,3
2004/12,4
2005/1,4
2005/2,1
2005/3,3
2005/4,4
2005/5,1
2005/6,4
2005/7,2
2005/8,6
2005/9,1
2005/10,3
2005/11,4
2005/12,3
2006/1,3
2006/2,3
2006/3,4
2006/4,4
2006/5,4
2006/6,3
2006/7,5
2006/8,2
2006/9,4
2006/10,4
2006/11,3
2006/12,2
2007/1,3
2007/2,3
2007/3,4
2007/4,4
2007/5,3
2007/6,3
2007/7,5
2007/8,5
2007/9,4
2007/10,5
2007/11,2
2007/12,4
2008/1,4
2008/2,2
2008/3,2
2008/4,4
2008/5,2
2008/6,3
2008/7,3
2008/8,2
2008/9,3
2008/10,4
2008/11,3
2008/12,5
2009/1,4
2009/2,3
2009/3,4
2009/4,4
2009/5,4
2009/6,2
2009/7,3
2009/8,3
2009/9,3
2009/10,5
2009/11,3
2009/12,4
