date,seeds_all
1997/1,0
1997/2,0
1997/3,0
1997/4,0
1997/5,0
1997/6,0
1997/7,29
1997/8,33
1997/9,103
1997/10,131
1997/11,134
1997/12,133
1998/1,113
1998/2,145
1998/3,117
1998/4,144
1998/5,189
1998/6,173
1998/7,0
1998/8,0
1998/9,0
1998/10,76
1998/11,161
1998/12,155
1999/1,0
1999/2,156
1999/3,228
1999/4,247
1999/5,303
1999/6,318
1999/7,332
1999/8,315
1999/9,267
1999/10,343
1999/11,198
1999/12,267
2000/1,310
2000/2,395
2000/3,370
2000/4,350
2000/5,378
2000/6,409
2000/7,333
2000/8,339
2000/9,375
2000/10,289
2000/11,360
2000/12,319
2001/1,286
2001/2,252
2001/3,368
2001/4,363
2001/5,351
2001/6,303
2001/7,227
2001/8,337
2001/9,388
2001/10,366
2001/11,333
2001/12,420
2002/1,345
2002/2,230
2002/3,415
2002/4,427
2002/5,430
2002/6,235
2002/7,285
2002/8,373
2002/9,392
2002/10,384
2002/11,405
2002/12,353
2003/1,244
2003/2,240
2003/3,302
2003/4,337
2003/5,315
2003/6,210
2003/7,167
2003/8,263
2003/9,301
2003/10,335
2003/11,340
2003/12,215
2004/1,301
2004/2,179
2004/3,168
2004/4,138
2004/5,169
2004/6,158
2004/7,270
2004/8,172
2004/9,152
2004/10,209
2004/11,247
2004/12,227
2005/1,219
2005/2,165
2005/3,196
2005/4,107
2005/5,156
2005/6,123
2005/7,248
2005/8,170
2005/9,225
2005/10,90
2005/11,86
2005/12,213
2006/1,113
2006/2,52
2006/3,40
2006/4,68
2006/5,83
2006/6,53
2006/7,70
2006/8,103
2006/9,61
2006/10,38
2006/11,92
2006/12,88
2007/1,62
2007/2,62
2007/3,98
2007/4,40
2007/5,144
2007/6,94
2007/7,111
2007/8,120
2007/9,59
2007/10,51
2007/11,48
2007/12,76
2008/1,71
2008/2,66
2008/3,74
2008/4,50
2008/5,52
2008/6,48
2008/7,26
2008/8,55
2008/9,83
2008/10,64
2008/11,77
2008/12,94
2009/1,52
2009/2,44
2009/3,42
2009/4,62
2009/5,70
2009/6,110
2009/7,120
2009/8,225
2009/9,155
2009/10,107
2009/11,115
2009/12,115
