cai,locus_tag
0.7431,MG_001
0.7518,MG_002
0.7358,MG_003
0.7241,MG_004
0.7657,MG_005
0.7468,MG_006
0.7712,MG_007
0.7698,MG_008
0.7449,MG_009
0.7794,MG_010
0.7624,MG_011
0.7492,MG_012
0.7541,MG_013
0.7427,MG_014
0.7241,MG_015
0.7584,MG_018
0.7686,MG_019
0.7999,MG_020
0.7630,MG_021
0.7523,MG_022
0.7735,MG_023
0.7577,MG_024
0.7226,MG_025
0.7575,MG_026
0.7468,MG_027
0.7434,MG_028
0.7197,MG_029
0.7153,MG_030
0.7450,MG_031
0.7333,MG_032
0.7332,MG_033
0.7149,MG_034
0.7501,MG_035
0.7364,MG_036
0.7498,MG_037
0.7371,MG_038
0.7550,MG_039
0.7638,MG_040
0.7822,MG_041
0.7597,MG_042
0.7380,MG_043
0.6902,MG_044
0.7344,MG_045
0.7251,MG_046
0.7510,MG_047
0.7045,MG_048
0.7180,MG_049
0.7491,MG_050
0.7835,MG_051
0.7609,MG_052
0.7296,MG_053
0.7535,MG_054
0.6785,MG_055
0.5862,MG_473
0.7527,MG_474
0.7620,MG_056
0.7799,MG_057
0.7426,MG_058
0.7532,MG_059
0.7454,MG_060
0.6844,MG_061
0.7238,MG_062
0.7277,MG_063
0.7371,MG_064
0.7343,MG_065
0.7442,MG_066
0.7664,MG_067
0.7615,MG_068
0.7259,MG_069
0.7091,MG_070
0.7049,MG_071
0.6998,MG_072
0.7174,MG_073
0.6729,MG_074
0.7107,MG_075
0.7474,MG_076
0.6606,MG_077
0.6874,MG_078
0.6815,MG_079
0.6853,MG_080
0.7316,MG_081
0.7274,MG_082
0.6662,MG_083
0.7103,MG_084
0.7332,MG_085
0.6850,MG_086
0.7095,MG_087
0.7454,MG_088
0.7498,MG_089
0.7319,MG_090
0.7354,MG_091
0.7236,MG_092
0.7098,MG_093
0.7180,MG_094
0.7161,MG_095
0.7278,MG_096
0.6914,MG_097
0.7021,MG_098
0.7225,MG_099
0.7227,MG_100
0.6478,MG_101
0.7377,MG_102
0.7282,MG_103
0.6377,MG_476
0.6978,MG_104
0.7287,MG_105
0.7622,MG_106
0.7047,MG_107
0.7652,MG_108
0.7126,MG_109
0.7306,MG_110
0.7329,MG_111
0.7131,MG_112
0.6973,MG_113
0.7021,MG_114
0.7115,MG_115
0.7568,MG_116
0.7020,MG_117
0.7316,MG_118
0.7166,MG_119
0.6852,MG_120
0.6798,MG_121
0.7214,MG_122
0.6886,MG_123
0.7622,MG_124
0.7644,MG_125
0.7432,MG_126
0.7209,MG_127
0.7232,MG_128
0.7180,MG_129
0.7139,MG_130
0.7736,MG_132
0.7145,MG_133
0.7113,MG_134
0.6487,MG_135
0.7271,MG_136
0.7212,MG_137
0.7095,MG_138
0.7183,MG_139
0.6886,MG_140
0.7192,MG_141
0.7155,MG_477
0.7150,MG_142
0.6824,MG_143
0.7312,MG_144
0.7384,MG_145
0.6941,MG_146
0.6587,MG_147
0.7009,MG_148
0.7223,MG_149
0.6805,MG_478
0.6561,MG_150
0.6588,MG_151
0.6616,MG_152
0.6528,MG_153
0.6914,MG_154
0.7471,MG_155
0.6889,MG_156
0.6574,MG_157
0.7062,MG_158
0.7382,MG_159
0.6678,MG_160
0.6754,MG_161
0.6720,MG_162
0.6415,MG_163
0.6448,MG_164
0.6691,MG_165
0.6920,MG_166
0.6684,MG_167
0.6708,MG_168
0.6655,MG_169
0.6225,MG_170
0.6844,MG_171
0.6692,MG_172
0.6333,MG_173
0.6729,MG_174
0.6731,MG_175
0.5931,MG_176
0.6392,MG_177
0.6978,MG_178
0.6864,MG_179
0.6616,MG_180
0.6497,MG_181
0.6639,MG_182
0.7091,MG_183
0.7296,MG_184
0.7403,MG_185
0.6697,MG_186
0.6946,MG_187
0.5870,MG_188
0.6066,MG_189
0.6791,MG_190
0.6541,MG_191
0.6436,MG_192
0.7092,MG_194
0.6962,MG_195
0.6490,MG_196
0.6662,MG_197
0.6798,MG_198
0.6922,MG_200
0.6418,MG_201
0.6515,MG_202
0.6687,MG_203
0.7096,MG_204
0.6616,MG_205
0.7159,MG_206
0.7415,MG_207
0.6813,MG_208
0.6715,MG_209
0.7015,MG_210
0.6455,MG_480
0.6155,MG_481
0.7144,MG_211
0.6999,MG_482
0.6909,MG_212
0.6894,MG_213
0.6749,MG_214
0.7020,MG_215
0.6841,MG_216
0.7840,MG_217
0.6821,MG_218
0.6668,MG_491
0.7553,MG_219
0.7186,MG_220
0.6741,MG_221
0.6856,MG_222
0.7027,MG_223
0.6986,MG_224
0.6697,MG_225
0.6910,MG_226
0.7214,MG_227
0.7137,MG_228
0.6444,MG_229
0.6927,MG_230
0.6829,MG_231
0.6705,MG_232
0.6781,MG_233
0.6578,MG_234
0.6997,MG_235
0.6479,MG_236
0.6832,MG_237
0.7032,MG_238
0.6760,MG_239
0.7225,MG_240
0.7130,MG_241
0.7111,MG_242
0.7109,MG_244
0.7854,MG_245
0.7596,MG_246
0.6961,MG_247
0.7026,MG_248
0.7015,MG_249
0.7462,MG_250
0.7266,MG_251
0.7269,MG_252
0.7308,MG_253
0.7307,MG_254
0.6950,MG_255
0.7003,MG_256
0.6913,MG_257
0.7125,MG_258
0.7222,MG_259
0.7646,MG_260
0.7323,MG_261
0.7077,MG_262
0.7606,MG_498
0.7457,MG_263
0.6905,MG_264
0.7418,MG_265
0.7193,MG_266
0.6688,MG_267
0.7129,MG_268
0.6794,MG_269
0.6807,MG_270
0.7248,MG_271
0.7432,MG_272
0.6625,MG_273
0.6980,MG_274
0.6952,MG_275
0.6541,MG_276
0.6884,MG_277
0.7103,MG_278
0.7196,MG_279
0.7019,MG_280
0.7331,MG_281
0.7096,MG_282
0.7535,MG_283
0.6424,MG_284
0.6909,MG_285
0.7998,MG_286
0.7373,MG_287
0.7534,MG_289
0.7392,MG_290
0.7238,MG_291
0.7146,MG_505
0.7546,MG_292
0.7343,MG_293
0.7075,MG_294
0.7718,MG_295
0.7592,MG_296
0.7133,MG_297
0.7324,MG_298
0.7503,MG_299
0.7253,MG_300
0.7147,MG_301
0.7229,MG_302
0.7315,MG_303
0.6912,MG_304
0.7359,MG_305
0.7111,MG_306
0.7394,MG_307
0.7498,MG_308
0.7589,MG_309
0.7392,MG_310
0.7411,MG_311
0.7609,MG_312
0.6827,MG_313
0.6982,MG_314
0.7552,MG_315
0.6877,MG_316
0.7545,MG_317
0.7090,MG_318
0.6871,MG_319
0.6761,MG_320
0.7215,MG_321
0.7040,MG_322
0.7390,MG_323
0.7197,MG_515
0.7515,MG_324
0.6541,MG_325
0.7219,MG_326
0.7158,MG_327
0.7413,MG_328
0.7268,MG_329
0.7193,MG_330
0.7549,MG_331
0.7361,MG_332
0.7578,MG_334
0.7457,MG_335
0.6819,MG_516
0.7427,MG_517
0.7494,MG_336
0.8315,MG_337
0.7755,MG_338
0.7418,MG_339
0.7007,MG_340
0.7203,MG_341
0.7757,MG_342
0.7623,MG_343
0.7449,MG_344
0.7577,MG_345
0.7999,MG_346
0.7581,MG_347
0.7702,MG_348
0.7148,MG_349
0.7899,MG_350
0.7202,MG_521
0.7982,MG_351
0.6890,MG_352
0.6968,MG_353
0.7604,MG_354
0.7240,MG_355
0.7440,MG_356
0.7356,MG_357
0.7286,MG_358
0.7114,MG_359
0.7521,MG_360
0.7275,MG_361
0.7840,MG_362
0.7366,MG_363
0.7939,MG_522
0.7477,MG_364
0.7404,MG_365
0.7799,MG_366
0.7913,MG_367
0.7286,MG_368
0.7234,MG_369
0.7389,MG_370
0.7084,MG_371
0.7507,MG_372
0.7604,MG_373
0.7397,MG_374
0.7465,MG_375
0.7139,MG_376
0.8073,MG_377
0.7578,MG_378
0.7298,MG_379
0.7033,MG_380
0.7672,MG_381
0.7528,MG_382
0.7434,MG_383
0.7593,MG_384
0.7103,MG_524
0.7401,MG_385
0.8038,MG_386
0.7584,MG_387
0.7080,MG_388
0.7181,MG_389
0.7225,MG_390
0.7515,MG_391
0.7742,MG_392
0.7019,MG_393
0.7448,MG_394
0.7481,MG_395
0.7085,MG_396
0.7266,MG_397
0.7512,MG_398
0.7547,MG_399
0.7411,MG_400
0.7550,MG_401
0.7519,MG_402
0.7311,MG_403
0.7683,MG_404
0.6832,MG_405
0.6856,MG_406
0.7569,MG_407
0.7928,MG_408
0.7258,MG_409
0.7044,MG_410
0.6809,MG_411
0.7467,MG_412
0.7767,MG_414
0.7662,MG_525
0.7595,MG_417
0.7441,MG_418
0.7251,MG_419
0.7452,MG_421
0.7441,MG_422
0.7294,MG_423
0.6701,MG_424
0.7283,MG_425
0.6671,MG_426
0.6844,MG_427
0.7204,MG_428
0.7657,MG_429
0.7590,MG_430
0.7467,MG_431
0.7057,MG_432
0.7851,MG_433
0.7704,MG_434
0.7686,MG_435
0.6984,MG_437
0.7199,MG_438
0.7799,MG_439
0.7328,MG_440
0.7435,MG_441
0.7449,MG_442
0.7192,MG_443
0.7315,MG_444
0.8159,MG_445
0.6296,MG_446
0.7386,MG_447
0.7514,MG_448
0.6842,MG_450
0.7316,MG_451
0.6646,MG_452
0.7533,MG_453
0.7898,MG_454
0.7839,MG_455
0.7494,MG_456
0.7329,MG_457
0.7010,MG_458
0.7932,MG_459
0.7460,MG_460
0.7626,MG_461
0.7350,MG_462
0.6976,MG_463
0.7190,MG_464
0.6896,MG_465
0.6715,MG_466
0.7117,MG_467
0.7427,MG_468
0.7463,MG_526
0.7504,MG_469
0.6617,MG_470
